Date,Fighter A,Fighter B,Winner,Weight Class,Method,Round,Time
"July 19, 2025",Max Holloway,Dustin Poirier,Max Holloway,Lightweight,U-DEC,5,5:00
"July 19, 2025",Paulo Costa,Roman Kopylov,Paulo Costa,Middleweight,U-DEC,3,5:00
"July 19, 2025",Daniel Rodriguez,Kevin Holland,Daniel Rodriguez,Welterweight,U-DEC,3,5:00
"July 19, 2025",Patricio Freire,Dan Ige,Patricio Freire,Featherweight,U-DEC,3,5:00
"July 19, 2025",Michael Johnson,Daniel Zellhuber,Michael Johnson,Lightweight,U-DEC,3,5:00
"July 19, 2025",Vinicius Oliveira,Kyler Phillips,Vinicius Oliveira,Bantamweight,U-DEC,3,5:00
"July 19, 2025",Brendan Allen,Marvin Vettori,Brendan Allen,Middleweight,U-DEC,3,5:00
"July 19, 2025",Nikolay Veretennikov,Francisco Prado,Nikolay Veretennikov,Welterweight,S-DEC,3,5:00
"July 19, 2025",Ateba Gautier,Robert Valentin,Ateba Gautier,Middleweight,KO/TKOPunch,1,1:10
"July 19, 2025",Islam Dulatov,Adam Fugitt,Islam Dulatov,Welterweight,KO/TKOPunch,1,4:06
"July 19, 2025",Jimmy Crute,Marcin Prachnio,Jimmy Crute,Light Heavyweight,SUBArmbar,1,4:42
"July 19, 2025",Ryan Spann,Lukasz Brzeski,Ryan Spann,Heavyweight,SUBGuillotine Choke,1,2:47
"July 19, 2025",Brunno Ferreira,Jackson McVey,Brunno Ferreira,Middleweight,SUBArmbar,1,3:35
"July 19, 2025",Carli Judice,Nicolle Caliari,Carli Judice,Women's Flyweight,KO/TKOKnee,3,1:30
"July 12, 2025",Derrick Lewis,Tallison Teixeira,Derrick Lewis,Heavyweight,KO/TKOPunches,1,0:35
"July 12, 2025",Gabriel Bonfim,Stephen Thompson,Gabriel Bonfim,Welterweight,S-DEC,3,5:00
"July 12, 2025",Steve Garcia,Calvin Kattar,Steve Garcia,Featherweight,U-DEC,3,5:00
"July 12, 2025",Morgan Charriere,Nate Landwehr,Morgan Charriere,Featherweight,KO/TKOPunch,3,0:27
"July 12, 2025",Vitor Petrino,Austen Lane,Vitor Petrino,Heavyweight,SUBRear Naked Choke,1,4:16
"July 12, 2025",Tuco Tokkos,Junior Tafa,Tuco Tokkos,Light Heavyweight,SUBArm Triangle,2,4:25
"July 12, 2025",Chris Curtis,Max Griffin,Chris Curtis,Welterweight,S-DEC,3,5:00
"July 12, 2025",Jake Matthews,Chidi Njokuani,Jake Matthews,Welterweight,SUBRear Naked Choke,1,1:09
"July 12, 2025",Eduarda Moura,Lauren Murphy,Eduarda Moura,Women's Flyweight,U-DEC,3,5:00
"July 12, 2025",Valter Walker,Kennedy Nzechukwu,Valter Walker,Heavyweight,SUBHeel Hook,1,0:54
"July 12, 2025",Mike Davis,Mitch Ramirez,Mike Davis,Lightweight,KO/TKOPunches,2,4:08
"July 12, 2025",Fatima Kline,Melissa Martinez,Fatima Kline,Women's Strawweight,KO/TKOKick,3,2:36
"June 28, 2025",Ilia Topuria,Charles Oliveira,Ilia Topuria,Lightweight,KO/TKOPunch,1,2:27
"June 28, 2025",Alexandre Pantoja,Kai Kara-France,Alexandre Pantoja,Flyweight,SUBRear Naked Choke,3,1:55
"June 28, 2025",Joshua Van,Brandon Royval,Joshua Van,Flyweight,U-DEC,3,5:00
"June 28, 2025",Beneil Dariush,Renato Moicano,Beneil Dariush,Lightweight,U-DEC,3,5:00
"June 28, 2025",Payton Talbott,Felipe Lima,Payton Talbott,Bantamweight,U-DEC,3,5:00
"June 28, 2025",Gregory Rodrigues,Jack Hermansson,Gregory Rodrigues,Middleweight,KO/TKOPunch,1,4:21
"June 28, 2025",Jose Delgado,Hyder Amil,Jose Delgado,Featherweight,KO/TKOKnee,1,0:26
"June 28, 2025",Tracy Cortez,Viviane Araujo,Tracy Cortez,Women's Flyweight,U-DEC,3,5:00
"June 28, 2025",Terrance McKinney,Viacheslav Borshchev,Terrance McKinney,Lightweight,SUBGuillotine Choke,1,0:55
"June 28, 2025",Jacobe Smith,Niko Price,Jacobe Smith,Welterweight,SUBRear Naked Choke,2,4:03
"June 28, 2025",Jhonata Diniz,Alvin Hines,Jhonata Diniz,Heavyweight,U-DEC,3,5:00
"June 21, 2025",Khalil Rountree Jr.,Jamahal Hill,Khalil Rountree Jr.,Light Heavyweight,U-DEC,5,5:00
"June 21, 2025",Rafael Fiziev,Ignacio Bahamondes,Rafael Fiziev,Lightweight,U-DEC,3,5:00
"June 21, 2025",Curtis Blaydes,Rizvan Kuniev,Curtis Blaydes,Heavyweight,S-DEC,3,5:00
"June 21, 2025",Myktybek Orolbai,Tofiq Musayev,Myktybek Orolbai,Catch Weight,SUBKimura,1,4:35
"June 21, 2025",Nazim Sadykhov,Nikolas Motta,Nazim Sadykhov,Lightweight,KO/TKOPunches,2,4:17
"June 21, 2025",Muhammad Naimov,Bogdan Grad,Muhammad Naimov,Featherweight,U-DEC,3,5:00
"June 21, 2025",Seokhyeon Ko,Oban Elliott,Seokhyeon Ko,Welterweight,U-DEC,3,5:00
"June 21, 2025",JunYong Park,Ismail Naurdiev,JunYong Park,Middleweight,U-DEC,3,5:00
"June 21, 2025",Daria Zhelezniakova,Melissa Mullins,Daria Zhelezniakova,Women's Bantamweight,U-DEC,3,5:00
"June 21, 2025",Klaudia Sygula,Irina Alekseeva,Klaudia Sygula,Women's Bantamweight,U-DEC,3,5:00
"June 21, 2025",Tagir Ulanbekov,Azat Maksum,Tagir Ulanbekov,Flyweight,U-DEC,3,5:00
"June 21, 2025",Mohammed Usman,Hamdy Abdelwahab,Mohammed Usman,Heavyweight,U-DEC,3,5:00
"June 14, 2025",Kamaru Usman,Joaquin Buckley,Kamaru Usman,Welterweight,U-DEC,5,5:00
"June 14, 2025",Rose Namajunas,Miranda Maverick,Rose Namajunas,Women's Flyweight,U-DEC,3,5:00
"June 14, 2025",Edmen Shahbazyan,Andre Petroski,Edmen Shahbazyan,Middleweight,U-DEC,3,5:00
"June 14, 2025",Raoni Barcelos,Cody Garbrandt,Raoni Barcelos,Bantamweight,U-DEC,3,5:00
"June 14, 2025",Mansur Abdul-Malik,Cody Brundage,Mansur Abdul-Malik,Middleweight,U-DEC,3,0:36
"June 14, 2025",Alonzo Menifield,Oumar Sy,Alonzo Menifield,Light Heavyweight,U-DEC,3,5:00
"June 14, 2025",Paul Craig,Rodolfo Bellato,Draw/NC,Light Heavyweight,CNC,1,4:59
"June 14, 2025",Michael Chiesa,Court McGee,Michael Chiesa,Welterweight,U-DEC,3,5:00
"June 14, 2025",Malcolm Wellmaker,Kris Moutinho,Malcolm Wellmaker,Bantamweight,KO/TKOPunch,1,2:37
"June 14, 2025",Jose Ochoa,Cody Durden,Jose Ochoa,Flyweight,KO/TKOPunch,2,0:11
"June 14, 2025",Ricky Simon,Cameron Smotherman,Ricky Simon,Bantamweight,U-DEC,3,5:00
"June 14, 2025",Phil Rowe,Ange Loosa,Phil Rowe,Welterweight,KO/TKOPunches,3,4:03
"June 14, 2025",Jamey-Lyn Horth,Vanessa Demopoulos,Jamey-Lyn Horth,Women's Flyweight,U-DEC,3,5:00
"June 07, 2025",Merab Dvalishvili,Sean O'Malley,Merab Dvalishvili,Bantamweight,SUBGuillotine Choke,3,4:42
"June 07, 2025",Kayla Harrison,Julianna Pena,Kayla Harrison,Women's Bantamweight,SUBKimura,2,4:55
"June 07, 2025",Joe Pyfer,Kelvin Gastelum,Joe Pyfer,Middleweight,U-DEC,3,5:00
"June 07, 2025",Mario Bautista,Patchy Mix,Mario Bautista,Bantamweight,U-DEC,3,5:00
"June 07, 2025",Kevin Holland,Vicente Luque,Kevin Holland,Welterweight,SUBAnaconda Choke,2,1:03
"June 07, 2025",Joshua Van,Bruno Silva,Joshua Van,Flyweight,KO/TKOPunches,3,4:01
"June 07, 2025",Azamat Murzakanov,Brendson Ribeiro,Azamat Murzakanov,Light Heavyweight,KO/TKOPunches,1,3:25
"June 07, 2025",Waldo Cortes-Acosta,Serghei Spivac,Waldo Cortes-Acosta,Heavyweight,U-DEC,3,5:00
"June 07, 2025",Andreas Gustafsson,Khaos Williams,Andreas Gustafsson,Welterweight,U-DEC,3,5:00
"June 07, 2025",Wang Cong,Ariane da Silva,Wang Cong,Women's Flyweight,U-DEC,3,5:00
"June 07, 2025",JooSang Yoo,Jeka Saragih,JooSang Yoo,Featherweight,KO/TKOPunch,1,0:28
"June 07, 2025",Quillan Salkilld,Yanal Ashmouz,Quillan Salkilld,Lightweight,U-DEC,3,5:00
"June 07, 2025",MarQuel Mederos,Mark Choinski,MarQuel Mederos,Lightweight,U-DEC,3,5:00
"May 31, 2025",Mateusz Gamrot,Ludovit Klein,Mateusz Gamrot,Lightweight,U-DEC,3,5:00
"May 31, 2025",Ramiz Brahimaj,Billy Ray Goff,Ramiz Brahimaj,Welterweight,SUBGuillotine Choke,1,3:16
"May 31, 2025",Dustin Jacoby,Bruno Lopes,Dustin Jacoby,Light Heavyweight,KO/TKOPunch,1,1:50
"May 31, 2025",Ketlen Vieira,Macy Chiasson,Ketlen Vieira,Women's Featherweight,U-DEC,3,5:00
"May 31, 2025",Zachary Reese,Dusko Todorovic,Zachary Reese,Middleweight,U-DEC,3,5:00
"May 31, 2025",Allan Nascimento,Jafel Filho,Allan Nascimento,Flyweight,U-DEC,3,5:00
"May 31, 2025",Jordan Leavitt,Kurt Holobaugh,Jordan Leavitt,Lightweight,SUBAnaconda Choke,1,1:39
"May 31, 2025",Bolaji Oki,Michael Aswell,Bolaji Oki,Lightweight,U-DEC,3,5:00
"May 31, 2025",Alice Ardelean,Rayanne dos Santos,Alice Ardelean,Women's Strawweight,U-DEC,3,5:00
"May 17, 2025",Michael Morales,Gilbert Burns,Michael Morales,Welterweight,KO/TKOPunches,1,3:39
"May 17, 2025",Mairon Santos,Sodiq Yusuff,Mairon Santos,Lightweight,U-DEC,3,5:00
"May 17, 2025",Nursulton Ruziboev,Dustin Stoltzfus,Nursulton Ruziboev,Middleweight,U-DEC,3,5:00
"May 17, 2025",Melquizael Costa,Julian Erosa,Melquizael Costa,Featherweight,U-DEC,3,5:00
"May 17, 2025",Gabe Green,Matheus Camilo,Gabe Green,Lightweight,SUBRear Naked Choke,2,3:43
"May 17, 2025",Jared Gordon,Thiago Moises,Jared Gordon,Lightweight,KO/TKOPunch,1,3:37
"May 17, 2025",Yadier del Valle,Connor Matthews,Yadier del Valle,Featherweight,SUBRear Naked Choke,1,2:54
"May 17, 2025",Luana Santos,Tainara Lisboa,Luana Santos,Women's Bantamweight,SUBKeylock,2,4:59
"May 17, 2025",Denise Gomes,Elise Reed,Denise Gomes,Women's Strawweight,KO/TKOPunches,2,0:30
"May 17, 2025",HyunSung Park,Carlos Hernandez,HyunSung Park,Flyweight,SUBRear Naked Choke,1,2:26
"May 17, 2025",Tecia Pennington,Luana Pinheiro,Tecia Pennington,Women's Strawweight,U-DEC,3,5:00
"May 10, 2025",Jack Della Maddalena,Belal Muhammad,Jack Della Maddalena,Welterweight,U-DEC,5,5:00
"May 10, 2025",Valentina Shevchenko,Manon Fiorot,Valentina Shevchenko,Women's Flyweight,U-DEC,5,5:00
"May 10, 2025",Aiemann Zahabi,Jose Aldo,Aiemann Zahabi,Featherweight,U-DEC,3,5:00
"May 10, 2025",Natalia Silva,Alexa Grasso,Natalia Silva,Women's Flyweight,U-DEC,3,5:00
"May 10, 2025",Benoit Saint Denis,Kyle Prepolec,Benoit Saint Denis,Lightweight,SUBArm Triangle,2,2:35
"May 10, 2025",Mike Malott,Charles Radtke,Mike Malott,Welterweight,KO/TKOPunch,2,0:26
"May 10, 2025",Jasmine Jasudavicius,Jessica Andrade,Jasmine Jasudavicius,Women's Flyweight,SUBRear Naked Choke,1,2:40
"May 10, 2025",Modestas Bukauskas,Ion Cutelaba,Modestas Bukauskas,Light Heavyweight,S-DEC,3,5:00
"May 10, 2025",Navajo Stirling,Ivan Erslan,Navajo Stirling,Light Heavyweight,U-DEC,3,5:00
"May 10, 2025",Marc-Andre Barriault,Bruno Silva,Marc-Andre Barriault,Middleweight,KO/TKOElbows,1,1:27
"May 10, 2025",Daniel Santos,JeongYeong Lee,Daniel Santos,Featherweight,U-DEC,3,5:00
"May 10, 2025",Bekzat Almakhan,Brad Katona,Bekzat Almakhan,Bantamweight,KO/TKOPunch,1,1:04
"May 03, 2025",Cory Sandhagen,Deiveson Figueiredo,Cory Sandhagen,Bantamweight,KO/TKO,2,4:08
"May 03, 2025",Reinier de Ridder,Bo Nickal,Reinier de Ridder,Middleweight,KO/TKOKnee,2,1:53
"May 03, 2025",Daniel Rodriguez,Santiago Ponzinibbio,Daniel Rodriguez,Welterweight,KO/TKOPunch,3,1:12
"May 03, 2025",Montel Jackson,Daniel Marcos,Montel Jackson,Bantamweight,U-DEC,3,5:00
"May 03, 2025",Serhiy Sidey,Cameron Smotherman,Serhiy Sidey,Bantamweight,U-DEC,3,5:00
"May 03, 2025",Mason Jones,Jeremy Stephens,Mason Jones,Lightweight,U-DEC,3,5:00
"May 03, 2025",Yana Santos,Miesha Tate,Yana Santos,Women's Bantamweight,U-DEC,3,5:00
"May 03, 2025",Azamat Bekoev,Ryan Loder,Azamat Bekoev,Middleweight,KO/TKOPunch,1,2:44
"May 03, 2025",Gillian Robertson,Marina Rodriguez,Gillian Robertson,Women's Strawweight,KO/TKOPunches,2,2:07
"May 03, 2025",Quang Le,Gaston Bolanos,Quang Le,Bantamweight,SUBRear Naked Choke,2,1:54
"May 03, 2025",Thomas Petersen,Don'Tale Mayes,Thomas Petersen,Heavyweight,U-DEC,3,5:00
"May 03, 2025",Juliana Miller,Ivana Petrovic,Juliana Miller,Women's Flyweight,U-DEC,3,5:00
"April 26, 2025",Ian Machado Garry,Carlos Prates,Ian Machado Garry,Welterweight,U-DEC,5,5:00
"April 26, 2025",Zhang Mingyang,Anthony Smith,Zhang Mingyang,Light Heavyweight,KO/TKOElbows,1,4:03
"April 26, 2025",David Onama,Giga Chikadze,David Onama,Featherweight,U-DEC,3,5:00
"April 26, 2025",Abus Magomedov,Michel Pereira,Abus Magomedov,Middleweight,U-DEC,3,5:00
"April 26, 2025",Randy Brown,Nicolas Dalby,Randy Brown,Welterweight,KO/TKOPunch,2,1:39
"April 26, 2025",Ikram Aliskerov,Andre Muniz,Ikram Aliskerov,Middleweight,KO/TKOPunches,1,4:54
"April 26, 2025",Matt Schnell,Jimmy Flick,Matt Schnell,Flyweight,U-DEC,3,5:00
"April 26, 2025",Evan Elder,Gauge Young,Evan Elder,Lightweight,U-DEC,3,5:00
"April 26, 2025",Chris Gutierrez,John Castaneda,Chris Gutierrez,Featherweight,S-DEC,3,5:00
"April 26, 2025",Da'Mon Blackshear,Alatengheili,Da'Mon Blackshear,Bantamweight,U-DEC,3,5:00
"April 26, 2025",Malcolm Wellmaker,Cameron Saaiman,Malcolm Wellmaker,Bantamweight,KO/TKOPunch,1,1:59
"April 26, 2025",Jaqueline Amorim,Polyana Viana,Jaqueline Amorim,Women's Strawweight,SUBRear Naked Choke,2,1:49
"April 26, 2025",Timmy Cuamba,Roberto Romero,Timmy Cuamba,Featherweight,KO/TKOFlying Knee,2,3:55
"April 26, 2025",Joselyne Edwards,Chelsea Chandler,Joselyne Edwards,Women's Bantamweight,KO/TKOPunches,1,2:31
"April 12, 2025",Alexander Volkanovski,Diego Lopes,Alexander Volkanovski,Featherweight,U-DEC,5,5:00
"April 12, 2025",Paddy Pimblett,Michael Chandler,Paddy Pimblett,Lightweight,KO/TKOElbows,3,3:07
"April 12, 2025",Yair Rodriguez,Patricio Freire,Yair Rodriguez,Featherweight,U-DEC,3,5:00
"April 12, 2025",Jean Silva,Bryce Mitchell,Jean Silva,Featherweight,SUBGuillotine Choke,2,3:52
"April 12, 2025",Dominick Reyes,Nikita Krylov,Dominick Reyes,Light Heavyweight,KO/TKOPunch,1,2:24
"April 12, 2025",Dan Ige,Sean Woodson,Dan Ige,Featherweight,KO/TKOPunches,3,1:12
"April 12, 2025",Virna Jandiroba,Yan Xiaonan,Virna Jandiroba,Women's Strawweight,U-DEC,3,5:00
"April 12, 2025",Chase Hooper,Jim Miller,Chase Hooper,Lightweight,U-DEC,3,5:00
"April 12, 2025",Julian Erosa,Darren Elkins,Julian Erosa,Featherweight,KO/TKOPunches,1,4:15
"April 12, 2025",Michal Oleksiejczuk,Sedriques Dumas,Michal Oleksiejczuk,Middleweight,KO/TKOPunches,1,2:49
"April 12, 2025",Sumudaerji,Mitch Raposo,Sumudaerji,Flyweight,S-DEC,3,5:00
"April 12, 2025",Marco Tulio,Tresean Gore,Marco Tulio,Middleweight,KO/TKOPunch,2,3:16
"April 12, 2025",Nora Cornolle,Hailey Cowan,Nora Cornolle,Women's Bantamweight,SUBRear Naked Choke,2,1:52
"April 05, 2025",Lerone Murphy,Josh Emmett,Lerone Murphy,Featherweight,U-DEC,5,5:00
"April 05, 2025",Pat Sabatini,Joanderson Brito,Pat Sabatini,Featherweight,U-DEC,3,5:00
"April 05, 2025",ChangHo Lee,Cortavious Romious,ChangHo Lee,Bantamweight,KO/TKOElbows,2,3:48
"April 05, 2025",Brad Tavares,Gerald Meerschaert,Brad Tavares,Middleweight,U-DEC,3,5:00
"April 05, 2025",Ode Osbourne,Luis Gurule,Ode Osbourne,Flyweight,KO/TKOPunch,2,1:54
"April 05, 2025",Torrez Finney,Robert Valentin,Torrez Finney,Middleweight,S-DEC,3,5:00
"April 05, 2025",Dione Barbosa,Diana Belbita,Dione Barbosa,Women's Flyweight,SUBArm Triangle,1,4:13
"April 05, 2025",Rhys McKee,Daniel Frunza,Rhys McKee,Welterweight,KO/TKO,1,5:00
"April 05, 2025",Loma Lookboonmee,Istela Nunes,Loma Lookboonmee,Women's Strawweight,U-DEC,3,5:00
"April 05, 2025",Victor Henry,Pedro Falcao,Victor Henry,Bantamweight,U-DEC,3,5:00
"April 05, 2025",Martin Buday,Uran Satybaldiev,Martin Buday,Heavyweight,U-DEC,3,5:00
"April 05, 2025",Talita Alencar,Vanessa Demopoulos,Talita Alencar,Women's Strawweight,U-DEC,3,5:00
"March 29, 2025",Brandon Moreno,Steve Erceg,Brandon Moreno,Flyweight,U-DEC,5,5:00
"March 29, 2025",Manuel Torres,Drew Dober,Manuel Torres,Lightweight,KO/TKOPunches,1,1:45
"March 29, 2025",Edgar Chairez,CJ Vergara,Edgar Chairez,Flyweight,SUBRear Naked Choke,1,2:30
"March 29, 2025",Raul Rosas Jr.,Vince Morales,Raul Rosas Jr.,Bantamweight,U-DEC,3,5:00
"March 29, 2025",David Martinez,Saimon Oliveira,David Martinez,Bantamweight,KO/TKOKnee,1,4:38
"March 29, 2025",Kevin Borjas,Ronaldo Rodriguez,Kevin Borjas,Flyweight,U-DEC,3,5:00
"March 29, 2025",Ateba Gautier,Jose Daniel Medina,Ateba Gautier,Middleweight,KO/TKOKnee,1,3:32
"March 29, 2025",Melquizael Costa,Christian Rodriguez,Melquizael Costa,Featherweight,U-DEC,3,5:00
"March 29, 2025",Loopy Godinez,Julia Polastri,Loopy Godinez,Women's Strawweight,U-DEC,3,5:00
"March 29, 2025",Rafa Garcia,Vinc Pichel,Rafa Garcia,Lightweight,U-DEC,3,5:00
"March 29, 2025",Jamall Emmers,Gabriel Miranda,Jamall Emmers,Featherweight,KO/TKOPunch,1,4:06
"March 29, 2025",MarQuel Mederos,Austin Hubbard,MarQuel Mederos,Lightweight,S-DEC,3,5:00
"March 22, 2025",Sean Brady,Leon Edwards,Sean Brady,Welterweight,SUBGuillotine Choke,4,1:39
"March 22, 2025",Carlos Ulberg,Jan Blachowicz,Carlos Ulberg,Light Heavyweight,U-DEC,3,5:00
"March 22, 2025",Kevin Holland,Gunnar Nelson,Kevin Holland,Welterweight,U-DEC,3,5:00
"March 22, 2025",Alexia Thainara,Molly McCann,Alexia Thainara,Women's Strawweight,SUBRear Naked Choke,1,4:32
"March 22, 2025",Chris Duncan,Jordan Vucenic,Chris Duncan,Lightweight,SUBGuillotine Choke,2,3:42
"March 22, 2025",Nathaniel Wood,Morgan Charriere,Nathaniel Wood,Featherweight,U-DEC,3,5:00
"March 22, 2025",Chris Padilla,Jai Herbert,Chris Padilla,Lightweight,S-DEC,3,5:00
"March 22, 2025",Lone'er Kavanagh,Felipe dos Santos,Lone'er Kavanagh,Flyweight,U-DEC,3,5:00
"March 22, 2025",Marcin Tybura,Mick Parkin,Marcin Tybura,Heavyweight,U-DEC,3,5:00
"March 22, 2025",Christian Leroy Duncan,Andrey Pulyaev,Christian Leroy Duncan,Middleweight,U-DEC,3,5:00
"March 22, 2025",Shauna Bannon,Puja Tomar,Shauna Bannon,Women's Strawweight,SUBArmbar,2,3:22
"March 22, 2025",Caolan Loughran,Nathan Fletcher,Caolan Loughran,Bantamweight,S-DEC,3,5:00
"March 22, 2025",Kaue Fernandes,Guram Kutateladze,Kaue Fernandes,Lightweight,U-DEC,3,5:00
"March 15, 2025",Roman Dolidze,Marvin Vettori,Roman Dolidze,Middleweight,U-DEC,5,5:00
"March 15, 2025",Chidi Njokuani,Elizeu Zaleski dos Santos,Chidi Njokuani,Welterweight,KO/TKOKnee,2,2:19
"March 15, 2025",Alexander Hernandez,Kurt Holobaugh,Alexander Hernandez,Lightweight,U-DEC,3,5:00
"March 15, 2025",Da'Mon Blackshear,Cody Gibson,Da'Mon Blackshear,Bantamweight,SUBKimura,2,4:09
"March 15, 2025",Brendson Ribeiro,Diyar Nurgozhay,Brendson Ribeiro,Light Heavyweight,SUBKimura,2,1:28
"March 15, 2025",Kevin Vallejos,SeungWoo Choi,Kevin Vallejos,Featherweight,KO/TKOPunches,1,3:09
"March 15, 2025",Waldo Cortes-Acosta,Ryan Spann,Waldo Cortes-Acosta,Heavyweight,KO/TKOPunches,2,4:48
"March 15, 2025",SuYoung You,AJ Cunningham,SuYoung You,Bantamweight,U-DEC,3,5:00
"March 15, 2025",Carlos Vera,Josias Musasa,Carlos Vera,Bantamweight,SUBRear Naked Choke,1,3:16
"March 15, 2025",Sam Hughes,Stephanie Luciano,Sam Hughes,Women's Strawweight,S-DEC,3,5:00
"March 15, 2025",Andre Lima,Daniel Barez,Andre Lima,Flyweight,SUBRear Naked Choke,3,3:05
"March 15, 2025",Priscila Cachoeira,Josiane Nunes,Priscila Cachoeira,Women's Bantamweight,KO/TKOPunch,1,2:46
"March 15, 2025",Carli Judice,Yuneisy Duben,Carli Judice,Women's Flyweight,KO/TKOKick,1,1:40
"March 08, 2025",Magomed Ankalaev,Alex Pereira,Magomed Ankalaev,Light Heavyweight,U-DEC,5,5:00
"March 08, 2025",Justin Gaethje,Rafael Fiziev,Justin Gaethje,Lightweight,U-DEC,3,5:00
"March 08, 2025",Ignacio Bahamondes,Jalin Turner,Ignacio Bahamondes,Lightweight,SUBTriangle Choke,1,2:29
"March 08, 2025",Amanda Lemos,Iasmin Lucindo,Amanda Lemos,Women's Strawweight,U-DEC,3,5:00
"March 08, 2025",Mauricio Ruffy,King Green,Mauricio Ruffy,Lightweight,KO/TKOKick,1,2:07
"March 08, 2025",Joshua Van,Rei Tsuruya,Joshua Van,Flyweight,U-DEC,3,5:00
"March 08, 2025",Brunno Ferreira,Armen Petrosyan,Brunno Ferreira,Middleweight,SUBArmbar,2,4:27
"March 08, 2025",Carlos Leal,Alex Morono,Carlos Leal,Welterweight,KO/TKOPunches,1,4:16
"March 08, 2025",Mairon Santos,Francis Marshall,Mairon Santos,Featherweight,S-DEC,3,5:00
"March 08, 2025",Ozzy Diaz,Djorden Santos,Ozzy Diaz,Middleweight,U-DEC,3,5:00
"March 01, 2025",Manel Kape,Asu Almabayev,Manel Kape,Flyweight,KO/TKOPunches,3,2:16
"March 01, 2025",Cody Brundage,Julian Marquez,Cody Brundage,Middleweight,KO/TKOPunches,1,4:45
"March 01, 2025",Nasrat Haqparast,Esteban Ribovics,Nasrat Haqparast,Lightweight,S-DEC,3,5:00
"March 01, 2025",Hyder Amil,William Gomis,Hyder Amil,Featherweight,S-DEC,3,5:00
"March 01, 2025",Sam Patterson,Danny Barlow,Sam Patterson,Welterweight,KO/TKOPunch,1,3:10
"March 01, 2025",Mario Pinto,Austen Lane,Mario Pinto,Heavyweight,KO/TKOPunch,2,0:39
"March 01, 2025",Chepe Mariscal,Ricardo Ramos,Chepe Mariscal,Featherweight,U-DEC,3,5:00
"March 01, 2025",Danny Silva,Lucas Almeida,Danny Silva,Featherweight,S-DEC,3,5:00
"March 01, 2025",JJ Aldrich,Andrea Lee,JJ Aldrich,Women's Flyweight,U-DEC,3,5:00
"March 01, 2025",Ramazan Temirov,Charles Johnson,Ramazan Temirov,Flyweight,U-DEC,3,5:00
"February 22, 2025",Song Yadong,Henry Cejudo,Song Yadong,Bantamweight,U-DEC,3,5:00
"February 22, 2025",Anthony Hernandez,Brendan Allen,Anthony Hernandez,Middleweight,U-DEC,3,5:00
"February 22, 2025",Rob Font,Jean Matsumoto,Rob Font,Catch Weight,S-DEC,3,5:00
"February 22, 2025",Jean Silva,Melsik Baghdasaryan,Jean Silva,Featherweight,KO/TKOPunch,1,4:15
"February 22, 2025",Alonzo Menifield,Julius Walker,Alonzo Menifield,Light Heavyweight,S-DEC,3,5:00
"February 22, 2025",Ion Cutelaba,Ibo Aslan,Ion Cutelaba,Light Heavyweight,SUBArm Triangle,1,2:51
"February 22, 2025",Melquizael Costa,Andre Fili,Melquizael Costa,Featherweight,SUBGuillotine Choke,1,4:30
"February 22, 2025",Mansur Abdul-Malik,Nick Klein,Mansur Abdul-Malik,Middleweight,KO/TKOPunches,2,3:24
"February 22, 2025",Ricky Simon,Javid Basharat,Ricky Simon,Bantamweight,KO/TKOPunch,1,3:58
"February 22, 2025",Austin Vanderford,Nikolay Veretennikov,Austin Vanderford,Catch Weight,KO/TKOPunches,2,4:13
"February 22, 2025",Nursulton Ruziboev,Eric McConico,Nursulton Ruziboev,Middleweight,KO/TKOPunch,2,0:33
"February 22, 2025",Modestas Bukauskas,Rafael Cerqueira,Modestas Bukauskas,Light Heavyweight,KO/TKOPunches,1,2:12
"February 15, 2025",Jared Cannonier,Gregory Rodrigues,Jared Cannonier,Middleweight,KO/TKOPunches,4,0:21
"February 15, 2025",Youssef Zalal,Calvin Kattar,Youssef Zalal,Featherweight,U-DEC,3,5:00
"February 15, 2025",Edmen Shahbazyan,Dylan Budka,Edmen Shahbazyan,Middleweight,KO/TKOPunch,1,1:35
"February 15, 2025",Nazim Sadykhov,Ismael Bonfim,Nazim Sadykhov,Lightweight,KO/TKO,1,5:00
"February 15, 2025",Andre Petroski,Rodolfo Vieira,Andre Petroski,Middleweight,U-DEC,3,5:00
"February 15, 2025",Jose Delgado,Connor Matthews,Jose Delgado,Featherweight,KO/TKOPunches,1,2:58
"February 15, 2025",Angela Hill,Ketlen Souza,Angela Hill,Women's Strawweight,S-DEC,3,5:00
"February 15, 2025",Rafael Estevam,Jesus Aguilar,Rafael Estevam,Flyweight,U-DEC,3,5:00
"February 15, 2025",Gabriel Bonfim,Khaos Williams,Gabriel Bonfim,Welterweight,SUBD'Arce Choke,2,4:58
"February 15, 2025",Elijah Smith,Vince Morales,Elijah Smith,Bantamweight,U-DEC,3,5:00
"February 15, 2025",Valter Walker,Don'Tale Mayes,Valter Walker,Heavyweight,SUBHeel Hook,1,1:17
"February 15, 2025",Jacqueline Cavalcanti,Julia Avila,Jacqueline Cavalcanti,Women's Bantamweight,U-DEC,3,5:00
"February 08, 2025",Dricus Du Plessis,Sean Strickland,Dricus Du Plessis,Middleweight,U-DEC,5,5:00
"February 08, 2025",Zhang Weili,Tatiana Suarez,Zhang Weili,Women's Strawweight,U-DEC,5,5:00
"February 08, 2025",Tallison Teixeira,Justin Tafa,Tallison Teixeira,Heavyweight,KO/TKOElbow,1,0:35
